from,text,time,date
artist,소식 들었다~ 빌런즈 1000일 이라메 축하한댜ㅋㅋㅋㅋㅋ😘,18:05,2025-06-10
artist,고맙당ㅎㅎ❤️,19:09,2025-06-10
artist,우린 이렇게 보임ㅋㅋㅋㅋ,21:50,2025-06-15
artist,부산도 고생많았고 멀리서 온 아가들도 고생많았다이~,21:50,2025-06-15
artist,굿나잇혀♡,21:50,2025-06-15
artist,으아ㅏ~~~~~,09:52,2025-07-01
artist,굿나잇.....자고 돌아올게,09:52,2025-07-01
artist,다시 자는거임. ㅎㅎㅎ,09:53,2025-07-01
artist,배부르고망~,13:52,2025-07-01
artist,떡볶이 때리고와쓰,13:52,2025-07-01
artist,끄아아아아 the xcape 굉장히 재밌었다,22:10,2025-07-06
artist,덕분이야🩷,22:10,2025-07-06
artist,너무 고맙고 맛있는거 많이 먹고 푹 쉬어유~~~~😘,22:10,2025-07-06
artist,나. 김치. 먹는다.,19:00,2025-07-17
artist,말리지마,19:00,2025-07-17
artist,아니야 오늘은 아무도 말릴수없어.,19:01,2025-07-17
artist,미안해...,19:01,2025-07-17
artist,오늘은 일탈 좀 할게,19:01,2025-07-17
artist,나쁜남자가 되고싶어,19:01,2025-07-17
