date,time,text,from,type,media
2025-07-01,9:52,,artist,video,bubble/Jooyeon/250701_1.mp4
2025-07-01,9:52,으아ㅏ~~~~~,artist,text,
2025-07-01,9:52,굿나잇.....자고 돌아올게,artist,text,
2025-07-01,9:53,다시 자는거임. ㅎㅎㅎ,artist,text,
2025-07-01,13:52,배부르고망~,artist,text,
2025-07-01,13:52,떡볶이 때리고와쓰,artist,text,
2025-07-06,22:10,끄아아아아 the xcape 굉장히 재밌었다,artist,text,
2025-07-06,22:10,덕분이야🩷,artist,text,
2025-07-06,22:10,너무 고맙고 맛있는거 많이 먹고 푹 쉬어유~~~~😘,artist,text,
2025-07-17,19:00,,artist,image,bubble/Jooyeon/250717_1.jpg
2025-07-17,19:00,나. 김치. 먹는다.,artist,text,
2025-07-17,19:00,말리지마,artist,text,
2025-07-17,19:01,아니야 오늘은 아무도 말릴수없어.,artist,text,
2025-07-17,19:01,미안해...,artist,text,
2025-07-17,19:01,오늘은 일탈 좀 할게,artist,text,
2025-07-17,19:01,나쁜남자가 되고싶어,artist,text,
